,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,trajectory_length,trajectory_length,trajectory_length,trajectory_length,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q1_decay_rate,q1_decay_rate,q1_decay_rate,q1_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
weight_mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,-0.1548452394234709,,-0.1548452394234709,1,68.57415348694876,,68.57415348694876,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,-0.057416688461164,,-0.057416688461164,1,-0.2200549349529492,,-0.2200549349529492,1,9.471029894213345,,9.471029894213345,1,20.614429991881867,,20.614429991881867,1,83.55604123043743,,83.55604123043743,1,188.4967329295469,,188.4967329295469,1
0.29,-0.1501173351846861,,-0.1501173351846861,1,69.2407939723901,,69.2407939723901,1,0.3333333333332959,,0.3333333333332959,1,0.1333333333333183,,0.1333333333333183,1,-0.0526132727506139,,-0.0526132727506139,1,-0.0519050676255705,,-0.0519050676255705,1,9.519111277573874,,9.519111277573874,1,19.33890528699067,,19.33890528699067,1,77.28813204118333,,77.28813204118333,1,172.96066838161457,,172.96066838161457,1
0.3,-0.1425949728375922,,-0.1425949728375922,1,70.2981865445819,,70.2981865445819,1,0.3333333333332959,,0.3333333333332959,1,0.0666666666666591,,0.0666666666666591,1,-0.0227496653849013,,-0.0227496653849013,1,-0.0409629538520741,,-0.0409629538520741,1,9.570029464770048,,9.570029464770048,1,19.9190255119478,,19.9190255119478,1,79.96968831014222,,79.96968831014222,1,178.37368102564523,,178.37368102564523,1
0.31,-0.162551064417022,,-0.162551064417022,1,69.85505902238178,,69.85505902238178,1,0.3999999999999551,,0.3999999999999551,1,0.1999999999999775,,0.1999999999999775,1,-0.0259864779380524,,-0.0259864779380524,1,-0.250921760147049,,-0.250921760147049,1,9.617139129902643,,9.617139129902643,1,22.22460982732657,,22.22460982732657,1,89.83362495330276,,89.83362495330276,1,213.26863609737856,,213.26863609737856,1
0.32,-0.1294484467015124,,-0.1294484467015124,1,70.36319552851286,,70.36319552851286,1,0.3333333333332959,,0.3333333333332959,1,0.0666666666666591,,0.0666666666666591,1,-0.0614417357480214,,-0.0614417357480214,1,-0.0505415759900886,,-0.0505415759900886,1,9.665573008237908,,9.665573008237908,1,21.61639462742124,,21.61639462742124,1,85.41082518068359,,85.41082518068359,1,204.32010877454755,,204.32010877454755,1
0.33,-0.1589752275692617,,-0.1589752275692617,1,70.68075803626735,,70.68075803626735,1,0.5999999999999327,,0.5999999999999327,1,0.0666666666666591,,0.0666666666666591,1,-0.0023351642265056,,-0.0023351642265056,1,-0.2623959529553158,,-0.2623959529553158,1,9.712333183393309,,9.712333183393309,1,21.16188313681768,,21.16188313681768,1,85.4969441771997,,85.4969441771997,1,196.6077298476475,,196.6077298476475,1
0.34,-0.144284015413166,,-0.144284015413166,1,66.99020634423113,,66.99020634423113,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,-0.0878439119529337,,-0.0878439119529337,1,-0.227467553627679,,-0.227467553627679,1,9.756632515064494,,9.756632515064494,1,22.187681265704207,,22.187681265704207,1,88.4888891399846,,88.4888891399846,1,215.95537880989784,,215.95537880989784,1
0.35,-0.1528349680522927,,-0.1528349680522927,1,70.76020654257353,,70.76020654257353,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,-0.0237754396347915,,-0.0237754396347915,1,-0.1344197073149838,,-0.1344197073149838,1,9.803516303583477,,9.803516303583477,1,22.86309926284739,,22.86309926284739,1,93.1212525142362,,93.1212525142362,1,228.6114448408568,,228.6114448408568,1
0.36,-0.1413762525929002,,-0.1413762525929002,1,66.53488577534279,,66.53488577534279,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,-0.0416837331681659,,-0.0416837331681659,1,-0.2370713355490539,,-0.2370713355490539,1,9.84643070261798,,9.84643070261798,1,22.691769459656843,,22.691769459656843,1,92.88648445926373,,92.88648445926373,1,226.3533692258224,,226.3533692258224,1
0.37,-0.1718850416339755,,-0.1718850416339755,1,68.18768025796967,,68.18768025796967,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,-0.0337530934260061,,-0.0337530934260061,1,-0.0827235006708548,,-0.0827235006708548,1,9.88894123860231,,9.88894123860231,1,22.08100542613264,,22.08100542613264,1,90.12635796545324,,90.12635796545324,1,215.3085656263323,,215.3085656263323,1
0.38,-0.1203126267988129,,-0.1203126267988129,1,67.63951396741547,,67.63951396741547,1,0.3333333333332959,,0.3333333333332959,1,0.6666666666665919,,0.6666666666665919,1,0.0273352645993765,,0.0273352645993765,1,0.0360909511766331,,0.0360909511766331,1,9.93269880203658,,9.93269880203658,1,20.445497187574425,,20.445497187574425,1,83.60976473741222,,83.60976473741222,1,196.7793097546525,,196.7793097546525,1
0.39,-0.1548467379196201,,-0.1548467379196201,1,69.19076952516018,,69.19076952516018,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,-0.029061580599643,,-0.029061580599643,1,-0.1585406848409184,,-0.1585406848409184,1,9.97311726233096,,9.97311726233096,1,22.16517623778697,,22.16517623778697,1,92.36121139295948,,92.36121139295948,1,218.9661518287341,,218.9661518287341,1
0.4,-0.158462636282585,,-0.158462636282585,1,69.12231141855071,,69.12231141855071,1,0.5333333333332735,,0.5333333333332735,1,0.0666666666666591,,0.0666666666666591,1,0.0097340495419296,,0.0097340495419296,1,-0.2101367726391003,,-0.2101367726391003,1,10.010923789419644,,10.010923789419644,1,21.21434699996287,,21.21434699996287,1,88.70016160634306,,88.70016160634306,1,203.28456744888032,,203.28456744888032,1
0.41,-0.1551454847563184,,-0.1551454847563184,1,68.3232576667659,,68.3232576667659,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,-0.0525266657059573,,-0.0525266657059573,1,-0.2006631496360062,,-0.2006631496360062,1,10.05257315070952,,10.05257315070952,1,22.795887948534208,,22.795887948534208,1,98.0939015975099,,98.0939015975099,1,233.74450317080183,,233.74450317080183,1
0.42,-0.1248133469319916,,-0.1248133469319916,1,65.10490964068063,,65.10490964068063,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0497416581759517,,0.0497416581759517,1,-0.1376640177358504,,-0.1376640177358504,1,10.091409844991858,,10.091409844991858,1,20.925740305291047,,20.925740305291047,1,84.9063252555729,,84.9063252555729,1,207.23726110426145,,207.23726110426145,1
